Street_Name,Nodes
MIDCREST COURT,"[{37566248, 37566266}]"
NORTH RUHL ROAD,"[{37738137, 37795713, 37734468}]"
GINWOOD LANE,"[{37475475, 37442068}]"
REISBERG LANE,"[{37633519, 37431535}]"
LEADBURN ROAD,"[{37616943, 37616926, 37616935}]"
LEIGH CHOICE COURT,"[{37659891, 37837645}]"
SZOLD DRIVE,"[{49463472, 49463470}]"
MARLOVE OAKS LANE,"[{37659890, 2123145564, 2123145546, 2123145583}]"
WILTON DRIVE,"[{37560841, 37560858, 37560843}]"
TIVERTON ROAD,"[{37658694, 37305676, 37637869, 37658733, 37585521, 37658706, 37658718, 37658682, 37658750}]"
RHOM ROAD,"[{37616571, 37633823}]"
BOARMAN AVENUE,"[{49548673, 49506243, 49547812, 49469767, 49482887, 49547847, 49547849, 49550062, 9427311663, 49378768, 49555024, 9427311662, 49381907, 49473492, 803091826, 49473494, 49469466, 2191867515}]"
CHERRY GARDEN ROAD,"[{37689400, 37689403, 37689380, 37689398}]"
OAKLEIGH COURT,"[{37752720, 37752730}]"
HUNTERS RUN DRIVE,"[{37617411, 37617352, 37617354, 37617367, 37617391, 37484982, 37617399, 37018590}]"
QUIET VALLEY COURT,"[{37735707, 2035749751}]"
SEYMOUR PLACE,"[{37761297, 37633861}]"
RENICK COURT,"[{49462781, 49531645, 49579117, 49446710, 49577977, 49541469}]"
AVERYBROOK WAY,"[{4908374267, 4908374268}]"
WEST WELDON PLACE,"[{49539688, 49539680}]"
WEST 40TH STREET,"[{1323073824, 49556706, 49556708, 49495622, 49550119, 49497576, 49514824, 49393734, 49556748, 49524494, 1323073813, 49495612, 49440221, 8191416414}]"
RUSTICO ROAD,"[{966429959, 37864810, 37822257, 393519577, 37864767}]"
RED ROSE WAY,"[{37593564, 37593621}]"
STUART AVENUE,"[{49495041, 49505092, 49575016, 49534958, 1021944689, 49528242, 49575031, 49566266, 49510005, 49505079, 49566490, 49394971, 49528252, 49529149}]"
WESTPORT STREET,"[{1406579929, 49481961, 49430213, 49467759}]"
CALEB COURT,"[{37650299, 37650926}]"
HIDDEN STREAM COURT,"[{1391315417, 1391315474, 1391315629, 1391315303}]"
BONNIE VIEW ROAD,"[{37707080, 37741633, 37788264}]"
KIRKWOOD ROAD,"[{37638305, 37750882, 37759531, 37717976, 37668153, 37787739}]"
TOWANDA AVENUE,"[{49410946, 49459363, 49512642, 1099078758, 49550056, 49523209, 49546602, 49381677, 49528654, 49480047, 49550062, 49526353, 49550065, 1099078963, 49476117, 49541014, 49489335, 49483002}]"
CAROL ROAD,"[{37780228, 37618699, 37584556, 37774251, 37849359, 37900382}]"
WIRSING WAY,"[{435800725, 435800719}]"
LINGANORE AVENUE,"[{37613932, 37747182}]"
QUANTRIL WAY,"[{49464807, 49534443, 49534445, 49477905, 49522906, 49497949}]"
SOPHIA COURT,"[{37620312, 37743391}]"
COOLPOND COURT,"[{37654001, 37654014}]"
WATERFORD ROAD,"[{3659302733, 37776686, 37776691, 37776701, 37690076, 37616989}]"
WEST COLD SPRING LANE,"[{968048259, 49579523, 49415178, 49482891, 49492874, 49378579, 49524371, 9768356117, 49579544, 968048409, 49569306, 49469467, 49378332, 49381916, 49579550, 804631967, 49450788, 8962445222, 49386663, 49526696, 49522088, 8962445223, 49419051, 49419052, 49521838, 49390256, 49521840, 968048434, 49489075, 49569331, 49522100, 49466678, 49554744, 49522110, 49579584, 1272705985, 49474882, 804632002, 49529028, 7622415427, 49506246, 49427527, 49579591, 49547852, 49568208, 49555025, 49473495, 49408221, 49469410, 49554920, 49515497, 968048361, 7846798445, 49566318, 49390063, 49408240, 2177847408, 49550065, 804632051, 49469813, 7846798457, 49541115, 49495678}]"
PARAGON WAY,"[{1456957184, 1456957089, 1456957186, 1456957123, 2127011055, 1456957171, 6789511797}]"
ROSS STREET,"[{3293607673, 37583348}]"
WEBB STREET,"[{49455712, 1393209716}]"
HENDERSON HILL COURT,"[{37929561, 37489175}]"
ESQUIRE ROAD,"[{7881493734, 7881493733, 37654982, 37693935}]"
ROLAND GREEN,"[{5061253939, 5061253951}]"
CLIFFSIDE COURT,"[{37590410, 37590412}]"
DUNRAN ROAD,"[{37747488, 37756259, 37565095, 37617642, 37763852, 37610094, 37582159, 37710712, 37772218}]"
RELDAS COURT,"[{1235151311, 37636071}]"
WEST 24TH STREET,"[{49548802, 49522276, 49548804, 49548810, 49548811, 49478582, 1251299578}]"
VIRGINIA PLACE,"[{37726024, 37726029, 2821697408, 3590682469}]"
HOBB COURT,"[{2441732896, 37771463}]"
STRANDHILL COURT,"[{4806389657, 37672171, 37534181, 1411357215}]"
PRESGRAVES ROAD,"[{37723953, 4416308473, 4416308471}]"
ASHLEY AVENUE,"[{49457571, 49457351, 49488297, 49565901, 49559032, 49513821}]"
BRAIDED WHIP COURT,"[{37719672, 37719665}]"
WINTERGREEN PLACE,"[{37579528, 37880049, 37665942}]"
SAINT JOHNSBURY ROAD,"[{37835489, 37835490, 37835492, 37759205, 37835499, 37723087, 37598646, 37658972}]"
WEST OVERLEA AVENUE,"[{37624225, 529513829}]"
CALVERTON STREET,"[{37682308, 37807078, 37548615, 37807088, 37807090}]"
WEST MONTGOMERY STREET,"[{49493105, 49563452, 49541597, 49479695}]"
LOCHNER ROAD,"[{932490155, 49479509, 49465245, 49479542}]"
ALEX WAY,"[{699340490, 697185357}]"
KRISTAL COURT,"[{37370945, 37613175}]"
WILDBRANCH COURT,"[{37376560, 37378476}]"
HITCHCOCK LANE,"[{37605393, 2332474787, 37651929}]"
NICHOLSON STREET,"[{49480770, 1407138583}]"
BIGLEY AVENUE,"[{37566346, 37662150}]"
LAURENS STREET,"[{49464448, 49464451, 49464458, 835008147, 1099055395, 49379138, 49464393, 49464397, 49464400, 49464401, 49464403, 49464406, 49464413, 49457761, 49464422, 49464427, 49464429, 49464431, 49464433, 49464435, 49464437, 49464439, 49464445}]"
CHAPMAN DRIVE,"[{37405971, 1748710325}]"
NUTMEG KNOLL COURT,"[{37636602, 37636590}]"
HIDDEN BLUFF CIRCLE,"[{908703909, 364174854, 364174878, 908703945, 908703925, 908703864, 364174910}]"
RED JONATHAN COURT,"[{37443921, 37633916}]"
BUDLEIGH CIRCLE,"[{37869771, 37869796}]"
DEVERAUX COURT,"[{986812817, 37775602}]"
BALTIMORE STREET,"[{37785088, 37648640, 37785092, 37676423, 37635849, 37718171, 37785116, 37785118, 37785120, 37404451, 37621806, 37682357, 37655222, 37691836, 1165867453, 37691838, 37691843, 37691846, 37586632, 37726029, 37641807, 37712084, 37691864, 37764061, 37592041, 37691881, 37691884, 37691885, 37618416, 37664497, 37335666, 37785084}]"
CHIVALRY COURT,"[{37866419, 37736853, 37741830}]"
PEPPER HILL ROAD,"[{37831001, 37697794, 37697806}]"
FAULKNER DRIVE,"[{37018552, 37018435, 37018533, 37018475}]"
RIVER OAKS CIRCLE,"[{37911680, 8039510187}]"
GRACE COURT,"[{49490594, 49490596, 49490598}]"
STARLIGHT PLACE,"[{37598399, 37572487}]"
POT SPRING ROAD,"[{37461254, 37628297, 37628426, 1729330060, 37628558, 37611791, 393525774, 37628312, 37628570, 37527072, 37628322, 1069991589, 37461160, 1494986922, 37628332, 37628536, 37628342, 37272640, 37628609, 37628361, 37628363, 37564877, 37628365, 37628381, 37628387, 1117401958, 37628528, 37628280, 37628409}]"
FRIAR FIELD RUN,"[{2190713928, 49491434, 2291312399}]"
GARDENWICK ROAD,"[{37567289, 37567282, 37567294}]"
WEST WEST STREET,"[{49475776, 295341411, 49480102, 49461614, 49493070, 49529458, 1080121206, 49529495, 49401115, 49529499}]"
SEAGATE COURT,"[{37649267, 37615614}]"
ROSEDALE HEIGHTS AVENUE,"[{37790677, 37502886}]"
EAST GITTINGS STREET,"[{49483047, 49483049, 49490570, 49459037, 1921364815, 49496786, 49496788, 49484759, 49455097, 49484474, 49496795, 49463485}]"
SHIPHORST TERRACE,"[{37722312, 37722314}]"
LINDEN LANE,"[{37761640, 37761649}]"
ENGLISH ELM COURT,"[{37589141, 37589126}]"
MILBROOK PARK DRIVE,"[{37593148, 37660061}]"
CORD STREET,"[{37643621, 37643631, 37632624, 37643633, 37643607, 37615898, 37398939, 37610653, 37846398}]"
BERRYFIELD DRIVE,"[{37689612, 37400037, 37600678}]"
IVYDALE ROAD,"[{37815578, 37563427}]"
WICKERSHAM WAY,"[{37712744, 37712717, 37712751, 37712725, 37712765}]"
DONATTELLO SQUARE,"[{37640122, 37320210}]"
PRIMROSE AVENUE,"[{49571107, 49473604, 37809286, 49463601, 49429718, 37634392, 49469178}]"
NORTH STAR COURT,"[{2149654369, 37608427}]"
GARRETT ROAD,"[{37617144, 37580028, 37848078}]"
PLEASANT OAKS ROAD,"[{37633770, 37633771, 6091764917}]"
CLAYBURY AVENUE,"[{49439093, 49513622, 49439094, 49484989, 49503741}]"
HAMILTON STREET,"[{49483066, 4894648803}]"
TUFTON SPRINGS LANE,"[{1419120751, 37325884, 1419120679, 1419120743}]"
WILTWYCK ROAD,"[{37877874, 37894358}]"
BROADVIEW ROAD,"[{37336752, 2212222242, 37665535}]"
LINDSAY ROAD,"[{49557034, 49557035, 49497327, 49489520, 49527447, 49420026, 49508254}]"
BARNSBURY STREET,"[{9461476779, 9461476782}]"
LANCEFIELD ROAD,"[{37750680, 37650188}]"
SOUTHERN CROSS DRIVE,"[{37685255, 37685264, 37572017, 37685234, 37685266, 37685268, 37670199, 37685241, 37685245}]"
WEST GEIPE ROAD,"[{1710273509, 1710273510, 37647371, 37618379, 1732519467, 37481006, 37603184, 37647378, 37647380, 37647382, 1931547931}]"
CROSSROADS CIRCLE,"[{602418688, 602418689, 4324391877, 1478351373, 4324391853, 6965436723, 1478351381, 494546106, 602418685, 6055016990}]"
SAFFRON COURT,"[{37566739, 37566740}]"
GREEN PEAK COURT,"[{37829985, 37663171}]"
MONHEGAN COURT,"[{37591834, 37591828}]"
BURLEIGH ROAD,"[{37699472, 37699495}]"
DIHEDRAL DRIVE,"[{37799555, 37610661}]"
SIENA WAY,"[{37378152, 757646707}]"
FINDLAY ROAD,"[{49484096, 49502497, 49500032, 49529378, 49523296, 49529349, 49438473, 49468809, 49527019, 49526990, 49529369, 49514075}]"
GRACES WILL WAY,"[{37665521, 2138022974}]"
DOTTY ROAD,"[{968909737, 968909866, 968909884}]"
VALLEYFIELD ROAD,"[{37633285, 37669162, 37731660, 37785486, 37682158, 37608305, 37633235, 37629878, 37566171, 37740862}]"
DURBAN COURT,"[{37833665, 37823047, 37635719}]"
KENSAL COURT,"[{37787293, 37551958}]"
MOORES VALLEY DRIVE,"[{37589187, 37589198, 37589263}]"
FINE ARTS DRIVE,"[{582987771, 37677277}]"
ROCKFIELD ROAD,"[{37723593, 37786343, 37288543}]"
MOSHER STREET,"[{49495300, 49469064, 49525258, 49543571, 49470230, 49504153, 49520155, 49543579, 49511069, 49508766, 49506461, 49469728, 49543583, 49543589, 49437991, 1099062311, 49507112, 49526569, 49503405, 49543471, 49543480, 49379129, 49543483, 49523774, 49470271, 49470273, 49461188, 49466183, 49466568, 49501001, 49508556, 49543503, 49502288, 49514067, 49543509, 49543511, 49534810, 49457755, 49543519, 49543525, 49543529, 49543533, 49460595, 49460853, 49482362}]"
NEARBROOK LANE,"[{37748120, 37705587}]"
CABLE STREET,"[{49493944, 49493941, 49493943}]"
GRUNDY STREET,"[{49499040, 49499044, 49471432, 49499049, 49499048, 49499050, 49499038, 49395029, 49459829, 8341746715, 49499036, 49483870, 49493695}]"
PENFOLD DRIVE,"[{37697945, 37773574}]"
SAMANTHA COURT,"[{37847401, 37803906}]"
HOLLAND HILL COURT,"[{37683899, 37683900}]"
HARLEM LANE,"[{37346723, 37833764, 37768713, 37586092, 37596498, 37888404, 37873942, 37835962, 37706397, 37888413, 37833759}]"
MUSGROVE ROAD,"[{37494201, 37494223, 37663883, 37474887}]"
SHANNON DRIVE,"[{49536928, 49398370, 49556550, 49487399, 49548585, 49556492, 49477261, 49477263, 49556335, 49556495, 49492369, 49556527, 49398334}]"
SOUTH ROAD,"[{49456866, 1453788995, 37596420, 49463783, 37647208, 49467785, 1021945609, 49467821, 37647153, 37617298, 49457939, 49379668, 49467796, 49467798, 49467799, 49467832, 49467806}]"
WOODY ROAD,"[{37834180, 37470751}]"
STONY RUN DRIVE,"[{49460550, 49528555, 49494254, 49522418, 49566686}]"
TEANECK COURT,"[{37633320, 37633319}]"
WHATCOAT STREET,"[{1064225056, 49458607, 49464435, 49509627, 49506462}]"
CRAFTSWOOD ROAD,"[{37603158, 37603126, 37603143}]"
GREENCOVE CIRCLE,"[{1407973675, 37631179, 602436332, 602436560, 37729909, 37648630, 37813718, 602436310, 602436348}]"
SUNSET ROAD,"[{1406550722, 49461667, 37787716, 49530853, 49420490, 49533548, 49526384, 37561489}]"
AIRPORT DRIVE,"[{1562917400, 37661170}]"
GUNRIDGE CIRCLE,"[{37876472, 37876402, 37876427, 37876391}]"
LAUREL HILL LANE,"[{37833746, 37840607}]"
MOUNT OLIVE ROAD,"[{37589940, 973435671}]"
MANOKIN STREET,"[{49468992, 49511013, 682748815, 49464784, 49511025, 49511024}]"
GOLDEN EAGLE DRIVE,"[{37618633, 37618610, 37618621, 37618678}]"
MARYKAY ROAD,"[{37656554, 37656535}]"
MIGHTY ACRES ROAD,"[{1399274986, 37582652, 4464208927}]"
EDNA AVENUE,"[{1102918816, 49525794, 37598819, 49441903, 37415505, 49441906, 49473809, 49525782, 1616716281, 1102918810}]"
WATCH COURT,"[{7031820323, 1461735116}]"
KEEN VALLEY DRIVE,"[{37694715, 37632084}]"
KITTRIDGE COURT,"[{37694282, 37826582}]"
HILL AVENUE,"[{37582247, 37582242, 1235388271}]"
CROZIER DRIVE,"[{49461497, 49503242, 49434045, 1516211442}]"
DISCOVERY COURT,"[{37692046, 37692047}]"
AMBERLY WAY,"[{49526177, 49499460}]"
STONECASTLE AVENUE,"[{37662860, 37662831, 37616431, 37662840, 37626845}]"
SHININGFIELD COURT,"[{3046055995, 3046055987}]"
KINTORE DRIVE,"[{37722016, 37722018, 37722052, 37721961, 37722058, 37680268, 37685230, 37643409, 37721944, 2833824756, 37565878, 37684312, 37722009, 37018301, 37624990, 37579743}]"
BRADBURY ROAD,"[{37779556, 37779535, 37351190, 37779000, 37779519}]"
BRADY AVENUE,"[{8027365195, 37579859, 37579853}]"
FIELD ROAD,"[{37700701, 37700807}]"
COOL SPRINGS COURT,"[{37633516, 37633517}]"
RED CLOVER COURT,"[{37815122, 37872610, 37824092, 37872582}]"
JESSOP LANE,"[{1908575817, 1908575777}]"
TYLER FALLS COURT,"[{37647603, 37847373}]"
RIVERTON ROAD,"[{37741281, 37472322, 37640839, 1114521833, 1276604298, 37640691, 37741277}]"
STONELEIGH COURT,"[{37561933, 37561934}]"
ESSEX FARM ROAD,"[{37749523, 37711812, 37749534}]"
BURLEITH AVENUE,"[{49509479, 49521484, 49467990, 49509415}]"
BLAKE COURT,"[{37756629, 37882775}]"
GAINSFORD ROAD,"[{37821604, 37736982, 37602367}]"
BOUNTY LANE,"[{49530667, 49478364}]"
BROOKSHIRE DRIVE,"[{37848699, 37815587}]"
BLADEN ROAD,"[{37797633, 37831110, 37835623}]"
VANDERMAST ROAD,"[{1422614280, 37567438, 37757847}]"
KEENERS ROAD,"[{393519577, 393519607, 393519525, 37610495}]"
RAINTREE WAY,"[{49492968, 49492964, 49492966}]"
HANNAH AVENUE,"[{37616113, 37765934}]"
SHAWAN VALLEY LANE,"[{37569648, 37569622, 37569583}]"
EUNICE COURT,"[{352897985, 352897997, 352897999}]"
CLAYFIELD COURT,"[{37644945, 37434762}]"
HERITAGE HILLS COURT,"[{3072116234, 3072116222}]"
FOREST GARDEN AVENUE,"[{37635833, 37585154, 37635831}]"
RAYNER AVENUE,"[{49508545, 49544164, 49469733, 49508784, 49512915, 49523828, 49542232, 49544155, 49526556, 49435613}]"
BRICKSTON ROAD,"[{37652362, 5968623567, 37652367, 37341716, 37504309, 37652374, 37533050, 37533053}]"
SCENIC DRIVE,"[{383978458, 383978468, 383978430}]"
EAST DRIVE,"[{37814400, 37657665, 37740485, 49399656, 37780584, 1083095485, 37602111, 1083095481, 49566461, 37603295}]"
TESSA LANE,"[{699340490, 697185246, 697185263}]"
QUERN COURT,"[{37817651, 37640124}]"
HARDWOOD DRIVE,"[{8902333954, 37826621, 37826631}]"
REDWOOD CIRCLE,"[{2687540914, 37470146, 37533044, 37470150}]"
BALDRIDGE WAY,"[{37627747, 37657011, 37657023}]"
WEST MELROSE AVENUE,"[{49488354, 49460550, 49488358, 49488395, 49485068, 49488396, 49488397}]"
BONAIR ROAD,"[{37579072, 37603666}]"
CASTLEBRIDGE COURT,"[{3917634784, 37256747}]"
AUTUMN GLOW COURT,"[{383981259, 383981255}]"
AMBERWOOD ROAD,"[{49390779, 49391260}]"
DURALUMIN COURT,"[{37716128, 37716126}]"
DULANEY HILLS COURT,"[{37735290, 37753366}]"
HONEYGO RIDGE COURT,"[{352898002, 352898004, 352897999}]"
BAYNER ROAD,"[{37753859, 37606086, 37665819, 37612779, 37729977, 37877211, 37825983}]"
WOODLAKE DRIVE,"[{37696490, 37887198, 37623350, 37636071}]"
MINERVA AVENUE,"[{804636220, 49496879}]"
PIELERT AVENUE,"[{3643373056, 3643373290}]"
DUNMANWAY,"[{37613184, 37613185, 37613186, 37613189, 37613192, 37613195, 37613196, 37613198, 37613206, 37613208, 37613210, 37565095, 37613230, 37613232, 1140347472, 37509718, 37582191, 37613179, 37613181}]"
MONARCH COURT,"[{37915176, 37915170, 37915173, 37620415}]"
FIRE HOUSE RD,"[{11779254325, 37580525}]"
ESSEX SQUARE,"[{37758378, 37758491}]"
RICHARD AVENUE,"[{49510944, 49510945, 49510946, 49457668, 49460389, 49477350, 49510926, 49497744, 49458419, 49510938}]"
NORMAL TERRACE,"[{37588314, 37588319}]"
FITZHARDING LANE,"[{37683535, 37923984, 37696213, 37716918, 37773272, 37773276, 37812317}]"
COLLEGE DRIVEWAY,"[{37254563, 37254572, 37254545, 37254581, 37317878}]"
RAMBLING RIDGE LANE,"[{37631054, 37631042, 37631046, 37550359}]"
TURN COURT,"[{37617288, 37617290}]"
WOODKEY LANE,"[{393527016, 37598747}]"
ROCKSPRING ROAD,"[{1399419043, 1021961204, 49462811, 49483549, 1399419038}]"
CHILDS STREET,"[{49483236, 49411366, 5470247111, 5470247110, 49494513, 49435060, 49494489, 49435071}]"
DOWNSHIRE COURT,"[{37864649, 37821597}]"
FOREST SPRING LANE,"[{37584874, 37606059, 1856521062, 1856521063}]"
GREENMOUNT AVENUE,"[{49489153, 9020086657, 49483652, 49500805, 49527558, 49527556, 49527557, 49527561, 49484044, 49459216, 49527569, 49490066, 1323073814, 49467288, 1251299609, 49461146, 49514014, 8917745438, 1334171942, 49481511, 49480498, 49488694, 49391415, 49500730, 49456955, 49455676, 49391425, 49507652, 49500869, 49501766, 49503559, 49516104, 49502667, 49527505, 49527508, 49527513, 49488218, 49521755, 1393229280, 49458530, 49527522, 49442149, 49527526, 49494759, 49527529, 49527531, 49527534, 49527535, 49527536, 49468530, 49514355, 49496948, 49527540, 49527545, 49527551}]"
FRIENDSHIP STREET,"[{49457866, 49482928, 49482929, 49482933, 49482935, 49482936}]"
BROOKHILL ROAD,"[{7104185675, 49469197, 49473653, 49473655, 49458072}]"
FAIRFAX ROAD,"[{49469610, 49469611, 49469612, 49466002, 49469618, 49469628}]"
LASALLE AVENUE,"[{49513636, 49564133, 49537094, 49568391, 49463240, 49564135, 49568364, 49496525, 49481942, 49541273, 49493053}]"
MURILLO COURT,"[{37640114, 37761882, 37761870, 1968507287}]"
WEST 36TH STREET,"[{49482401, 3891220585, 49482410, 974785645, 49482383, 49482416, 49482386, 49482418, 49482388, 49482389, 3891220600, 3891220573}]"
SUSAN COURT,"[{37605430, 37928551}]"
CAVES ROAD,"[{37597601, 37597538, 37597603, 37562537, 37597578, 37597676, 393527215, 37597521, 37597683, 37597627, 37597630}]"
SPENCE STREET,"[{49463738, 49511414, 49463734, 49463735}]"
LYNFAIR COURT,"[{37658253, 1240453797}]"
BRANCHWATER COURT,"[{2007709953, 3686398292}]"
MERRITT AVENUE,"[{37829064, 37365099, 952676461, 738189265, 738189266, 738189268, 37664117, 37626071, 37403386, 37625948}]"
MASTHEAD COURT,"[{37607865, 37607876}]"
COLUMBINE COURT,"[{2217148122, 2217148124, 37829068, 2217148119}]"
LINCO AVENUE,"[{37605313, 37647738}]"
QUAKER BOTTOM ROAD,"[{37598482, 37598515, 37598540}]"
SUMMIT GREEN COURT,"[{37763778, 37778853}]"
CHOICE COURT,"[{37792745, 37771451}]"
GORES MILL ROAD,"[{37644099, 7984915620, 37643941, 37038027, 37644018, 37826710, 37573655, 37644027, 9837605631}]"
NEVES COURT,"[{1616763240, 37627353}]"
TOWER BRIDGE WAY,"[{37803110, 37711836, 2782581335, 37711743}]"
NORTH ROSEDALE STREET,"[{49500047, 49508624, 49502739, 49506710, 49481252, 49462189, 49413167, 49481264, 49461686, 49523774, 1409337153, 49500485, 49523788, 49523791, 49523793, 49523795, 49520340, 49523797, 49502295, 49523799, 49523804, 49523805, 49484254, 49523807, 49475297, 49480545, 49460579, 49503715, 49523809, 49523811, 49523812, 49523816, 49493359, 49523828, 2467649013, 49496567, 49496568}]"
ESSEX STREET,"[{49471364, 49541156, 49469574, 49534088, 49559241, 49560044, 49483823, 49502553}]"
HOLLY NECK ROAD,"[{37567490, 37567491, 982614564, 37567301, 37567438, 37567470, 393521074, 37567445, 37567454, 37567477, 37567384, 37919742, 393519930, 5760974525, 37567358, 393520414}]"
HORSE TRAIL LANE,"[{675371168, 1465295878}]"
LANDRUM COURT,"[{37687258, 37687250, 37614092}]"
KENLY AVENUE,"[{49432386, 49545718}]"
WHITE MANOR DRIVE,"[{37652173, 37583158, 37652151}]"
STRAW HAT ROAD,"[{37561449, 37664193, 37648646, 37710625}]"
MELBY COURT,"[{37803481, 37803479}]"
TRAILWAY ROAD,"[{37594104, 37594116, 37594118, 37801663}]"
LINDA AVENUE,"[{37635857, 37686606}]"
KILLALA COURT,"[{37885866, 37885847}]"
TIGREFF COURT,"[{37341331, 37341332, 37841606}]"
CHARTWELL COURT,"[{37711993, 37887499}]"
PERRY RIVER ROAD,"[{3134504967, 3134504935}]"
TOTTERIDGE STREET,"[{5096166561, 7859111843, 7859111850, 7859111852, 5096166584, 6800955226}]"
NORTH WOODINGTON ROAD,"[{49525670, 49577289, 49572347, 49468367, 49485777, 2083392882, 49529620, 49515415, 49509914, 49492219, 49577627, 49541118, 49561727}]"
BRIARWOOD FARM COURT,"[{37776967, 37351351}]"
FRAMES ROAD,"[{37747587, 37654947, 37691685, 37747604, 37691679}]"
WEST LIBERTY ROAD,"[{37666820, 5176979538, 37666674, 37632786, 37666643, 37310296, 37626618}]"
WOODCROFT ROAD,"[{37606126, 37720156, 37720197, 37562206}]"
BRITOAK COURT,"[{37674386, 37674387}]"
PICKETT ROAD,"[{37666368, 37647780, 37717415, 37643019, 37921041, 37786070, 37744439, 37612605}]"
WHITE HEATHER ROAD,"[{37617352, 37803417, 37484982}]"
PLUM STREET,"[{49490594, 49506857, 49541099, 49541108, 49505623}]"
FRANKEL WAY,"[{1397078307, 5268458484, 5268458483}]"
INDUSTRY LANE,"[{37423933, 37725239}]"
RIDGEVIEW AVENUE,"[{49488995, 49457412, 49488965, 49456039, 49480297, 49473876, 49488984, 2512252505, 49488986, 49480219, 49488989}]"
BLACKBURN COURT,"[{49494914, 1657650894}]"
STONINGTON AVENUE,"[{49481840, 49498785, 49559469}]"
BREWSTER STREET,"[{37736952, 37659345, 37719330, 37872534}]"
OAKMOOR COURT,"[{37856065, 37835166}]"
BARTOL AVENUE,"[{49496704, 49405495, 49496719, 49496695, 49405500, 49496701, 49496703}]"
LODGE FOREST DRIVE,"[{37620993, 37620963, 37497415, 37620967, 37621004, 37620972, 37620981, 37102394, 37497403, 37620957}]"
ARMAGH DRIVE,"[{8868846697, 37764540, 37764534}]"
DUNWOODY CIRCLE,"[{37817026, 37817027}]"
MAYBROOK COURT,"[{37567728, 37567749}]"
DUCHESS COURT,"[{37762652, 37602151}]"
FOXCHASE LANE,"[{37591440, 37591425, 37591442, 37591415}]"
MARNAT ROAD,"[{37752715, 37757904, 37741680, 37757905, 37757913, 37644892}]"
HAYLOCK COURT,"[{37872178, 37921803, 37686788}]"
31ST STREET,"[{37616172, 37691430}]"
BALTIMORE NATIONAL PIKE,"[{49485824, 393490947, 393490948, 37647366, 49485836, 393490963, 393490964, 393490988, 37441069, 1271244332, 49489467, 37481020, 37585981, 49489470, 393491007, 920739392, 393491010, 49489477, 393491018, 1404152910, 1404152911, 393491026, 37680728, 37586012, 37407325, 37248612, 37680740, 37680743, 37680753, 37680761, 37680763, 1271244417, 49459331, 960965766, 2590652039, 37680776, 1079224970, 37680781, 37319312, 5250910363, 37680798, 37318818, 960965796, 49485989, 4244888240, 49497271, 49497272, 37586105, 49497276, 37510342, 89606346, 960965847, 1053407451, 37595881, 920739050, 960965867, 37535989, 37398783, 960965892, 37429009, 37436182, 37365528, 37680924, 256102175, 37680933, 37680938, 37680943, 37379891, 37680949, 37508421, 9119379786, 982829400, 982829403, 5250822647, 37420904, 256102248, 37681022, 37681023, 960966049, 37468072, 37520315, 49503163, 1930984898, 49503170, 1930984900, 37429735, 7825296361, 49479157, 393490935, 393490939, 393490942}]"
TOP COTTAGE COURT,"[{8530590607, 8530590599}]"
BELLE FORTE ROAD,"[{37696121, 37696170, 37696147, 37606869}]"
PAINTED TREE DRIVE,"[{37768450, 37798122, 37616048, 37666452, 37918548, 37938934}]"
LITTLE FALLS COURT,"[{2035749548, 2035749518}]"
MCINTOSH COURT,"[{37716122, 37647380}]"
REDMAN ROAD,"[{37588389, 37887086}]"
SONARA ROAD,"[{37870234, 37673147, 37712029}]"
SPRIGG COURT,"[{37788390, 37648583}]"
STONEWALL ROAD,"[{37778051, 37568326, 37856710, 37637415, 37582952, 37751146, 37856715, 37586188, 4616977777, 37757619, 37797240, 37797279}]"
WALDEN CYPRESS COURT,"[{37677633, 37677619}]"
2ND STREET,"[{49485634, 49485572, 49485641, 49485578, 49541707, 49485579, 632728843, 49485643, 49485646, 49485647, 49485650, 49485652, 37627929, 49485626, 49485627, 49485629, 37771454, 49485631}]"
RANGER COURT,"[{37614161, 37887369}]"
BYXBEE ROAD,"[{37649971, 37649956}]"
TURGOT LANE,"[{37778284, 37591445}]"
CUYLER COURT,"[{37836729, 37590258}]"
ELPIN DRIVE WEST,"[{37582892, 37747199}]"
GARLAND AVENUE,"[{37781796, 410447302, 37781737, 37781745, 37613175, 37655194}]"
GOLDEN HILL COURT,"[{37529674, 37740603}]"
WAGNER LANE,"[{37648184, 37266762}]"
MURGATE LANE,"[{37798888, 37798889}]"
FARLEY DRIVE,"[{1852299376, 1852299413, 1852299535}]"
ANVIL COURT,"[{1140067899, 1140278598}]"
CROSS SPRING DRIVE,"[{1139212512, 1139212533}]"
SPRING CREEK WAY,"[{37673464, 37673468, 37673460}]"
BITTERSWEET ROAD,"[{37724001, 37633290, 37724011, 37724012}]"
CORONADO ROAD,"[{37770593, 37801026, 37922948, 37585348, 37924614, 1038586568, 37631277, 37856045, 37876175, 37741300, 37800503}]"
BASILAN COURT,"[{37623920, 37623919}]"
GLEN GRANITE ROAD,"[{37688081, 37908525, 37688055}]"
